Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,
History,Mountain Men,Alternative,0.00,,0.00,,n/a,,
,,History,0%,,0%,,n/a,,
,,,,,,,,,
Hulu,**Catch-22,Drama,0.00,,0.00,,0.00,,
Hulu,**Into the Dark: Culture Shock,Drama,0.00,,0.00,,1.00,Gigi Saul Guerrero,
Hulu,Veronica Mars,Drama,0.00,,0.00,,1.00,Joaquin Sedillo,
Hulu,Harlots,Drama,0.00,,0.00,,0.00,,
Hulu,The Handmaid's Tale,Drama,1.00,Alexis Bledel,0.00,,0.00,,
Hulu,Light as a Feather ,Drama,0.00,,0.00,,0.00,,
Hulu,**The Bravest Knight,Kids,0.00,,0.00,,0.00,,
Hulu ,**Four Weddings and a Funeral,Comedy,0.00,,0.00,,0.00,,
,,Hulu ,,,,,,,
,,,,,,,,,
INVESTIGATION DISCOVERY,American Murder Mystery Season 14 - ,Docu-series,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Breaking Homicide Season 2 ,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Dark Waters: Murder in the Deep,Alternative,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Death in the Bayou: The Jennings 8,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Diabolical Season 2 ,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Extreme Measures Season 2 ,Alternative,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Fear Thy Neighbor Season 6,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Forbidden: Dying for Love Season 4,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Homicide Hunter: Lt. Joe Kenda,Docu-series,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Impact of Murder,Drama,0.00,,0.00,,n/a,,
INVESTIGATION DISCOVERY,Lone Star Justice,Docu-series,0.00,,0.00,,n/a,,
Investigation Discovery,LONE STAR JUSTICE ,Docu-series,0.00,,0.00,,n/a,,
Investigation Discovery,MIND OF A MONSTER,Docu-series,0.00,,0.00,,n/a,,
Investigation Discovery,Murder Chose Me,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,MURDER LOVES COMPANY,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,People Magazine Investigates: Cults,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,Serial Killer: Devil Unchained,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,Still a Mystery,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,The Case that Haunts Me,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,The Killer Beside Me Season 2,Alternative,0.00,,0.00,,n/a,,
Investigation Discovery,The Murder Tapes,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,The Shadows of Death,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,The Wonderland Murders,Alternative,0.00,,0.00,,n/a,,
Investigation Discovery,Til Death Do Us Part ,Drama,0.00,,0.00,,n/a,,
Investigation Discovery,Twisted Sisters,Drama,0.00,,0.00,,n/a,,
,,Investigation Discovery,0%,,0%,,n/a,,
,,,,,,,,,
Lifetime,**American Princess,Drama,0.00,,0.00,,0.00,,
LIFETIME,Dance Moms,Alternative,0.00,,0.00,,0.00,,
LIFETIME,Little Women: LA,Alternative,0.00,,0.00,,n/a,,
LIFETIME,MS. T's Music Factory,Alternative,0.00,,0.00,,n/a,,
Lifetime,Cheerleader Generation ,Alternative,0.00,,0.00,,0.00,,
Lifetime,Married at First Sight ,Alternative,0.00,,0.00,,0.00,,
Lifetime,MARRYING MILLIONS ,Alternative,0.00,,0.00,,0.00,,
,,Lifetime,0%,,0%,,0%,,
,,,,,,,,,
MTV,**The Hills: New Beginnings,Alternative,0.00,,0.00,,0.00,,
MTV,The Challenge Season 33 ,Alternative,0.00,,0.00,,0.00,,
MTV,Jersey Shore Family Vacation Season 3 ,Alternative,0.00,,0.00,,0.00,,
MTV,How Far Is Tattoo Far? Season 2,Alternative,0.00,,0.00,,0.00,,
MTV,Catfish: The TV Show Season 8,Alternative,0.00,,0.00,,0.00,,
MTV,Are You the One? Season 8,Alternative,0.00,,0.00,,0.00,,
,,MTV,0%,,0%,,0%,,
,,,,,,,,,
Nat Geo,**The Hot Zone,Drama,0.00,,0.00,,n/a,,
National Geographic,**Out There with Jack Randall ,Docu-series,0.00,,0.00,,0.00,,
National Geographic, GORDON RAMSAY: UNCHARTED,Alternative,0.00,,0.00,,0.00,,
NATIONAL GEOGRAPHIC,Drain the Oceans,Docu-series,0.00,,0.00,,0.00,,
NATIONAL GEOGRAPHIC ,Hitler's Last Stand,Docu-series,0.00,,0.00,,0.00,,
NATIONAL GEOGRAPHIC,Yellowstone Live,Docu-series,0.00,,0.00,,0.00,,
,,National Geographic,0%,,0%,,0%,,
,,,,,,,,,
NBC,**Bring the Funny,Comedy,0.00,,0.00,,0.00,,
NBC,**The InBetween,Drama,0.00,,0.00,,1.00,Eduardo Sanchez,
NBC,Hollywood Game Night,Alternative,0.00,,0.00,,0.00,,
NBC,**Songland,Alternative,0.00,,0.00,,0.00,,
