Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
LIFETIME,Little Women: LA,Alternative,0,,0,,n/a,,,,,,,
AMC,Lodge 49,Comedy,0,,0,,0,,,,,,,
Investigation Discovery,LONE STAR JUSTICE ,Docu-series,0,,0,,n/a,,,,,,,
HBO,Los Espookys,Comedy,1,"Ana Fabrega, Cassandra Ciangherotti, Julio Torres, Bernardo Velascoa,",1,,1,,,,,,,
VH1,Love & Hip Hop Hollywood Season 6,Alternative,0,,0,,0,,,,,,,
VH1,Love & Listings,Alternative,0,,n/a,,n/a,,,,,,,
CBS,Love Island,Alternative,0,,0,,0,,,,,,,
Netflix,Lucifer,Drama,1,Kevin Alejandro,0,,0,,,,,,,
Netflix,Malibu Rescue,Comedy,1,Ricardo Hurtado,0,,0,,,,,,,
Travel Channel,Man V. Food,Alternative,0,,0,,n/a,,,,,,,
Paramount,MARRIAGE RESCUE ,Alternative,0,,0,,n/a,,,,,,,
Lifetime,MARRYING MILLIONS ,Alternative,0,,0,,0,,,,,,,
ABC,Marvel's Agents of S.H.I.E.L.D.,Drama,0,,0,,0,,,,,,,
Netflix,Marvel’s Jessica Jones,Drama,0,,0,,0,,,,,,,
FOX,MasterChef,Alternative,1,Aarón Sánchez (U.S.),0,,0,,,,,,,
DISCOVERY CHANNEL,Masters of Disaster,Alternative,0,,0,,n/a,,,,,,,
ABC,Match Game,Alternative,0,,0,,0,,,,,,,
HGTV,Mexico Life,Alternative,0,,0,,n/a,,,,,,,
Bravo ,Million Dollar Listing: New York Season 8 ,Alternative,0,,0,,0,,,,,,,
Investigation Discovery,MIND OF A MONSTER,Docu-series,0,,0,,n/a,,,,,,,
Netflix,Mindhunter,Drama,0,,0,,0,,,,,,,
USA,MIz & MRS,Alternative,0,,0,,n/a,,,,,,,
HGTV,Mountain Mamas,Alternative,0,,0,,n/a,,,,,,,
History,Mountain Men,Alternative,0,,0,,n/a,,,,,,,
